Age,Conference,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
28,,"Feb 26, 1995",1988,6-3,Rod Strickland,PG,1994-1995,1995,6,Portland Trail Blazers,175,1.0
32,,"Feb 19, 1995",1984,6-6,Charles Barkley,PF,1994-1995,1995,10,Phoenix Suns,252,1.0
32,,"Feb 5, 1995",1984,7-0,Hakeem Olajuwon,C,1994-1995,1995,10,Houston Rockets,255,1.0
32,,"Jan 29, 1995",1984,6-1,John Stockton,PG,1994-1995,1995,10,Utah Jazz,170,1.0
32,,"Jan 22, 1995",1985,7-0,Patrick Ewing,C,1994-1995,1995,9,New York Knicks,240,1.0
25,,"Jan 15, 1995",1991,6-6,Larry Johnson,F,1994-1995,1995,3,Charlotte Hornets,250,1.0
26,,"Jan 8, 1995",1990,6-4,Gary Payton,G,1994-1995,1995,4,Seattle SuperSonics,180,1.0
32,,"Jan 1, 1995",1984,7-0,Hakeem Olajuwon,C,1994-1995,1995,10,Houston Rockets,255,1.0
25,,"Dec 25, 1994",1990,6-6,Cedric Ceballos,SF,1994-1995,1995,4,Los Angeles Lakers,190,1.0
31,,"Dec 18, 1994",1985,6-9,Karl Malone,PF,1994-1995,1995,9,Utah Jazz,265,1.0
22,,"Dec 11, 1994",1993,6-8,Jamal Mashburn,SF,1994-1995,1995,1,Dallas Mavericks,247,1.0
22,,"Dec 4, 1994",1992,7-1,Shaquille O'Neal,C,1994-1995,1995,2,Orlando Magic,325,1.0
23,,"Nov 27, 1994",1993,6-7,Penny Hardaway,PG,1994-1995,1995,1,Orlando Magic,195,1.0
25,,"Nov 20, 1994",1991,6-0,Elliot Perry,PG,1994-1995,1995,3,Phoenix Suns,150,1.0
28,,"Nov 13, 1994",1989,6-0,Tim Hardaway,PG,1994-1995,1995,5,Golden State Warriors,175,1.0
27,,"Apr 21, 1996",1990,6-8,Dennis Scott,SF,1995-1996,1996,5,Orlando Magic,229,1.0
23,,"Apr 14, 1996",1994,6-9,Juwan Howard,PF,1995-1996,1996,1,Washington Bullets,240,1.0
29,,"Apr 7, 1996",1987,6-1,Kevin Johnson,PG,1995-1996,1996,8,Phoenix Suns,180,1.0
31,,"Mar 31, 1996",1985,7-3,Arvydas Sabonis,C,1995-1996,1996,0,Portland Trail Blazers,279,1.0
28,,"Mar 24, 1996",1991,6-10,Chris Gatling,PF,1995-1996,1996,4,Miami Heat,220,1.0
23,,"Mar 17, 1996",1994,6-8,Grant Hill,SF,1995-1996,1996,1,Detroit Pistons,225,1.0
33,,"Mar 10, 1996",1984,6-6,Michael Jordan,SG,1995-1996,1996,10,Chicago Bulls,215,1.0
23,,"Mar 3, 1996",1992,7-1,Shaquille O'Neal,C,1995-1996,1996,3,Orlando Magic,325,1.0
33,,"Mar 3, 1996",1984,7-0,Hakeem Olajuwon,C,1995-1996,1996,11,Houston Rockets,255,1.0
26,,"Feb 25, 1996",1989,6-10,Shawn Kemp,C,1995-1996,1996,6,Seattle SuperSonics,280,1.0
31,,"Feb 18, 1996",1987,6-9,Armen Gilliam,PF,1995-1996,1996,8,New Jersey Nets,230,1.0
22,,"Feb 4, 1996",1994,6-4,Jason Kidd,PG,1995-1996,1996,1,Dallas Mavericks,210,1.0
30,,"Jan 28, 1996",1987,6-7,Reggie Miller,SG,1995-1996,1996,8,Indiana Pacers,185,1.0
33,,"Jan 21, 1996",1984,6-6,Michael Jordan,SG,1995-1996,1996,10,Chicago Bulls,215,1.0
30,,"Jan 14, 1996",1987,7-1,David Robinson,C,1995-1996,1996,6,San Antonio Spurs,250,1.0
29,,"Jan 7, 1996",1989,6-10,Cliff Robinson,PF,1995-1996,1996,6,Portland Trail Blazers,225,1.0
32,,"Dec 31, 1995",1985,6-9,Karl Malone,PF,1995-1996,1996,10,Utah Jazz,265,1.0
33,,"Dec 24, 1995",1984,6-6,Michael Jordan,SG,1995-1996,1996,10,Chicago Bulls,215,1.0
30,,"Dec 17, 1995",1987,6-8,Scottie Pippen,SF,1995-1996,1996,8,Chicago Bulls,228,1.0
29,,"Dec 10, 1995",1991,7-2,Dikembe Mutombo,C,1995-1996,1996,4,Denver Nuggets,260,1.0
25,,"Dec 3, 1995",1991,5-11,Terrell Brandon,PG,1995-1996,1996,4,Cleveland Cavaliers,180,1.0
26,,"Nov 26, 1995",1989,6-10,Shawn Kemp,C,1995-1996,1996,6,Seattle SuperSonics,280,1.0
26,,"Nov 19, 1995",1990,6-6,Cedric Ceballos,SF,1995-1996,1996,5,Los Angeles Lakers,190,1.0
24,,"Nov 12, 1995",1993,6-7,Penny Hardaway,PG,1995-1996,1996,2,Orlando Magic,195,1.0
24,,"Apr 20, 1997",1993,6-9,Chris Webber,F-C,1996-1997,1997,3,Washington Bullets,245,1.0
21,,"Apr 13, 1997",1996,6-0,Allen Iverson,G,1996-1997,1997,0,Philadelphia Sixers,165,1.0
24,,"Apr 6, 1997",1994,6-8,Grant Hill,SF,1996-1997,1997,2,Detroit Pistons,225,1.0
30,,"Mar 30, 1997",1987,6-1,Kevin Johnson,PG,1996-1997,1997,9,Phoenix Suns,180,1.0
33,,"Mar 23, 1997",1985,6-9,Karl Malone,PF,1996-1997,1997,11,Utah Jazz,265,1.0
33,,"Mar 16, 1997",1985,6-9,Karl Malone,PF,1996-1997,1997,11,Utah Jazz,265,1.0
34,,"Mar 9, 1997",1985,7-0,Patrick Ewing,C,1996-1997,1997,11,New York Knicks,240,1.0
30,,"Mar 2, 1997",1990,6-9,Loy Vaught,PF,1996-1997,1997,6,Los Angeles Clippers,230,1.0
31,,"Feb 23, 1997",1987,6-8,Scottie Pippen,SF,1996-1997,1997,9,Chicago Bulls,228,1.0
27,,"Feb 16, 1997",1992,6-10,Alonzo Mourning,C,1996-1997,1997,4,Miami Heat,240,1.0
29,,"Feb 2, 1997",1989,6-8,Glen Rice,SF,1996-1997,1997,7,Charlotte Hornets,228,1.0
31,,"Jan 26, 1997",1988,6-5,Mitch Richmond,SG,1996-1997,1997,8,Sacramento Kings,215,1.0
24,,"Jan 19, 1997",1994,6-8,Grant Hill,SF,1996-1997,1997,2,Detroit Pistons,225,1.0
24,,"Jan 12, 1997",1994,6-7,Glenn Robinson,SF,1996-1997,1997,2,Milwaukee Bucks,225,1.0
29,,"Jan 5, 1997",1989,6-8,Glen Rice,SF,1996-1997,1997,7,Charlotte Hornets,228,1.0
30,,"Dec 29, 1996",1989,6-0,Tim Hardaway,PG,1996-1997,1997,7,Miami Heat,175,1.0
26,,"Dec 22, 1996",1991,5-11,Terrell Brandon,PG,1996-1997,1997,5,Cleveland Cavaliers,180,1.0
24,,"Dec 15, 1996",1992,7-1,Shaquille O'Neal,C,1996-1997,1997,4,Los Angeles Lakers,325,1.0
29,,"Dec 8, 1996",1990,6-10,Terry Mills,PF,1996-1997,1997,6,Detroit Pistons,230,1.0
30,,"Dec 1, 1996",1991,7-2,Dikembe Mutombo,C,1996-1997,1997,5,Atlanta Hawks,260,1.0
34,,"Nov 24, 1996",1984,6-6,Charles Barkley,PF,1996-1997,1997,12,Houston Rockets,252,1.0
33,,"Nov 24, 1996",1985,6-9,Karl Malone,PF,1996-1997,1997,11,Utah Jazz,265,1.0
36,,"Nov 17, 1996",1983,6-7,Dale Ellis,GF,1996-1997,1997,13,Denver Nuggets,205,1.0
34,,"Nov 10, 1996",1984,7-0,Hakeem Olajuwon,C,1996-1997,1997,12,Houston Rockets,255,1.0
24,,"Apr 19, 1998",1994,6-4,Jason Kidd,PG,1997-1998,1998,3,Phoenix Suns,210,1.0
28,,"Apr 12, 1998",1993,6-3,Sam Cassell,G,1997-1998,1998,4,New Jersey Nets,185,1.0
35,,"Apr 5, 1998",1984,6-6,Michael Jordan,SG,1997-1998,1998,12,Chicago Bulls,215,1.0
28,,"Mar 29, 1998",1992,6-10,Alonzo Mourning,C,1997-1998,1998,5,Miami Heat,240,1.0
25,,"Mar 22, 1998",1992,7-1,Shaquille O'Neal,C,1997-1998,1998,5,Los Angeles Lakers,325,1.0
24,,"Mar 15, 1998",1994,6-4,Jason Kidd,PG,1997-1998,1998,3,Phoenix Suns,210,1.0
34,,"Mar 8, 1998",1985,6-9,Karl Malone,PF,1997-1998,1998,12,Utah Jazz,265,1.0
21,,"Mar 1, 1998",1997,6-11,Tim Duncan,FC,1997-1998,1998,0,San Antonio Spurs,250,1.0
30,,"Feb 22, 1998",1989,6-6,Nick Anderson,GF,1997-1998,1998,8,Orlando Magic,228,1.0
34,,"Feb 15, 1998",1985,6-9,Karl Malone,PF,1997-1998,1998,12,Utah Jazz,265,1.0
32,,"Feb 1, 1998",1987,7-1,David Robinson,C,1997-1998,1998,8,San Antonio Spurs,250,1.0
30,,"Jan 25, 1998",1990,6-10,Jayson Williams,FC,1997-1998,1998,7,New Jersey Nets,245,1.0
22,,"Jan 18, 1998",1996,6-0,Allen Iverson,G,1997-1998,1998,1,Philadelphia Sixers,165,1.0
28,,"Jan 11, 1998",1991,6-7,Steve Smith,SG,1997-1998,1998,6,Atlanta Hawks,200,1.0
31,,"Jan 4, 1998",1988,7-4,Rik Smits,C,1997-1998,1998,9,Indiana Pacers,250,1.0
32,,"Dec 28, 1997",1987,7-1,David Robinson,C,1997-1998,1998,8,San Antonio Spurs,250,1.0
35,,"Dec 21, 1997",1984,6-6,Michael Jordan,SG,1997-1998,1998,12,Chicago Bulls,215,1.0
30,,"Dec 14, 1997",1989,6-8,Glen Rice,SF,1997-1998,1998,8,Charlotte Hornets,228,1.0
26,,"Dec 7, 1997",1994,6-6,Wesley Person,SG,1997-1998,1998,3,Cleveland Cavaliers,195,1.0
34,,"Nov 30, 1997",1985,6-9,Karl Malone,PF,1997-1998,1998,12,Utah Jazz,265,1.0
35,,"Nov 23, 1997",1984,6-6,Michael Jordan,SG,1997-1998,1998,12,Chicago Bulls,215,1.0
25,,"Nov 16, 1997",1992,7-1,Shaquille O'Neal,C,1997-1998,1998,5,Los Angeles Lakers,325,1.0
31,,"Nov 9, 1997",1991,7-2,Dikembe Mutombo,C,1997-1998,1998,6,Atlanta Hawks,260,1.0
26,,"May 2, 1999",1994,6-8,Grant Hill,SF,1998-1999,1999,4,Detroit Pistons,225,1.0
25,,"Apr 25, 1999",1993,6-9,Chris Webber,F-C,1998-1999,1999,5,Sacramento Kings,245,1.0
25,,"Apr 18, 1999",1994,6-4,Jason Kidd,PG,1998-1999,1999,4,Phoenix Suns,210,1.0
35,,"Apr 11, 1999",1985,6-9,Karl Malone,PF,1998-1999,1999,13,Utah Jazz,265,1.0
22,,"Apr 4, 1999",1995,6-11,Kevin Garnett,PF,1998-1999,1999,3,Minnesota Timberwolves,240,1.0
30,,"Mar 28, 1999",1991,6-0,Darrell Armstrong,PG,1998-1999,1999,4,Orlando Magic,170,1.0
22,,"Mar 21, 1999",1998,6-6,Vince Carter,SF,1998-1999,1999,0,Toronto Raptors,220,1.0
29,,"Mar 14, 1999",1992,6-10,Alonzo Mourning,C,1998-1999,1999,6,Miami Heat,240,1.0
22,,"Mar 7, 1999",1997,6-11,Tim Duncan,FC,1998-1999,1999,1,San Antonio Spurs,250,1.0
24,,"Feb 28, 1999",1995,6-9,Antonio McDyess,F,1998-1999,1999,3,Denver Nuggets,245,1.0
22,,"Feb 21, 1999",1996,6-2,Stephon Marbury,G,1998-1999,1999,2,Minnesota Timberwolves,180,1.0
30,,"Feb 14, 1999",1990,6-4,Gary Payton,G,1998-1999,1999,8,Seattle SuperSonics,180,1.0
32,,"Feb 7, 1999",1991,7-2,Dikembe Mutombo,C,1998-1999,1999,7,Atlanta Hawks,260,1.0
21,,"Apr 17, 2000",1996,6-6,Kobe Bryant,SG,1999-2000,2000,3,Los Angeles Lakers,212,1.0
30,,"Apr 10, 2000",1992,6-10,Alonzo Mourning,C,1999-2000,2000,7,Miami Heat,240,1.0
23,,"Apr 3, 2000",1997,6-11,Tim Duncan,FC,1999-2000,2000,2,San Antonio Spurs,250,1.0
23,,"Mar 27, 2000",1995,6-11,Kevin Garnett,PF,1999-2000,2000,4,Minnesota Timberwolves,240,1.0
27,,"Mar 20, 2000",1994,6-8,Jalen Rose,G,1999-2000,2000,5,Indiana Pacers,210,1.0
27,,"Mar 13, 2000",1992,7-1,Shaquille O'Neal,C,1999-2000,2000,7,Los Angeles Lakers,325,1.0
36,,"Mar 6, 2000",1985,6-9,Karl Malone,PF,1999-2000,2000,14,Utah Jazz,265,1.0
23,,"Feb 28, 2000",1998,6-6,Vince Carter,SF,1999-2000,2000,1,Toronto Raptors,220,1.0
27,,"Feb 22, 2000",1992,7-1,Shaquille O'Neal,C,1999-2000,2000,7,Los Angeles Lakers,325,1.0
26,,"Feb 7, 2000",1995,6-7,Michael Finley,G-F,1999-2000,2000,4,Dallas Mavericks,225,1.0
33,,"Jan 31, 2000",1991,7-2,Dikembe Mutombo,C,1999-2000,2000,8,Atlanta Hawks,260,1.0
23,,"Jan 24, 2000",1999,6-3,Steve Francis,G,1999-2000,2000,0,Houston Rockets,195,1.0
27,,"Jan 17, 2000",1993,6-9,Chris Webber,F-C,1999-2000,2000,6,Sacramento Kings,245,1.0
27,,"Jan 10, 2000",1994,6-8,Grant Hill,SF,1999-2000,2000,5,Detroit Pistons,225,1.0
27,,"Jan 3, 2000",1993,6-9,Chris Webber,F-C,1999-2000,2000,6,Sacramento Kings,245,1.0
23,,"Dec 27, 1999",1995,6-11,Kevin Garnett,PF,1999-2000,2000,4,Minnesota Timberwolves,240,1.0
26,,"Dec 20, 1999",1994,6-4,Jason Kidd,PG,1999-2000,2000,5,Phoenix Suns,210,1.0
30,,"Dec 13, 1999",1992,6-10,Alonzo Mourning,C,1999-2000,2000,7,Miami Heat,240,1.0
27,,"Dec 5, 1999",1992,7-1,Shaquille O'Neal,C,1999-2000,2000,7,Los Angeles Lakers,325,1.0
23,,"Nov 28, 1999",1997,6-11,Tim Duncan,FC,1999-2000,2000,2,San Antonio Spurs,250,1.0
23,,"Nov 21, 1999",1998,6-6,Vince Carter,SF,1999-2000,2000,1,Toronto Raptors,220,1.0
23,,"Nov 14, 1999",1995,6-11,Kevin Garnett,PF,1999-2000,2000,4,Minnesota Timberwolves,240,1.0
30,,"Nov 7, 1999",1993,6-3,Sam Cassell,G,1999-2000,2000,6,Milwaukee Bucks,185,1.0
25,,"Apr 15, 2001",1996,6-5,Ray Allen,SG,2000-2001,2001,4,Milwaukee Bucks,205,1.0
28,,"Apr 8, 2001",1992,7-1,Shaquille O'Neal,C,2000-2001,2001,8,Los Angeles Lakers,325,1.0
27,,"Apr 1, 2001",1994,6-4,Jason Kidd,PG,2000-2001,2001,6,Phoenix Suns,210,1.0
23,,"Mar 25, 2001",1998,6-7,Paul Pierce,SF,2000-2001,2001,2,Boston Celtics,235,1.0
25,,"Mar 18, 2001",1998,6-4,Cuttino Mobley,G,2000-2001,2001,2,Houston Rockets,190,1.0
26,,"Mar 11, 2001",1997,6-5,Derek Anderson,G,2000-2001,2001,3,San Antonio Spurs,194,1.0
24,,"Mar 4, 2001",1998,6-6,Vince Carter,SF,2000-2001,2001,2,Toronto Raptors,220,1.0
22,,"Feb 25, 2001",1999,6-7,Shawn Marion,F,2000-2001,2001,1,Phoenix Suns,228,1.0
25,,"Feb 18, 2001",1996,6-0,Allen Iverson,G,2000-2001,2001,4,Philadelphia Sixers,165,1.0
32,,"Feb 4, 2001",1991,6-0,Darrell Armstrong,PG,2000-2001,2001,6,Orlando Magic,170,1.0
24,,"Jan 28, 2001",1997,6-11,Tim Duncan,FC,2000-2001,2001,3,San Antonio Spurs,250,1.0
28,,"Jan 22, 2001",1993,6-9,Chris Webber,F-C,2000-2001,2001,7,Sacramento Kings,245,1.0
24,,"Jan 14, 2001",1999,6-3,Steve Francis,G,2000-2001,2001,1,Houston Rockets,195,1.0
25,,"Jan 7, 2001",1996,6-0,Allen Iverson,G,2000-2001,2001,4,Philadelphia Sixers,165,1.0
28,,"Dec 31, 2000",1994,6-5,Aaron McKie,G,2000-2001,2001,6,Philadelphia Sixers,209,1.0
22,,"Dec 24, 2000",1996,6-6,Kobe Bryant,SG,2000-2001,2001,4,Los Angeles Lakers,212,1.0
28,,"Dec 17, 2000",1994,6-7,Glenn Robinson,SF,2000-2001,2001,6,Milwaukee Bucks,225,1.0
28,,"Dec 10, 2000",1993,6-9,Chris Webber,F-C,2000-2001,2001,7,Sacramento Kings,245,1.0
26,,"Dec 3, 2000",1995,6-9,Antonio McDyess,F,2000-2001,2001,5,Denver Nuggets,245,1.0
21,,"Nov 26, 2000",1999,6-3,Baron Davis,G,2000-2001,2001,1,Charlotte Hornets,215,1.0
24,,"Nov 19, 2000",1995,6-11,Kevin Garnett,PF,2000-2001,2001,5,Minnesota Timberwolves,240,1.0
24,,"Nov 12, 2000",1996,6-2,Stephon Marbury,G,2000-2001,2001,4,New Jersey Nets,180,1.0
37,,"Nov 6, 2000",1985,6-9,Karl Malone,PF,2000-2001,2001,15,Utah Jazz,265,1.0
38,,"Nov 6, 2000",1984,6-1,John Stockton,PG,2000-2001,2001,16,Utah Jazz,170,1.0
24,East,"Apr 7, 2002",1998,6-7,Paul Pierce,SF,2001-2002,2002,3,Boston Celtics,235,0.5
25,West,"Apr 7, 2002",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,250,0.5
27,East,"Mar 31, 2002",1996,6-9,Ben Wallace,FC,2001-2002,2002,5,Detroit Pistons,240,0.5
23,West,"Mar 31, 2002",1999,6-7,Shawn Marion,F,2001-2002,2002,2,Phoenix Suns,228,0.5
28,East,"Mar 24, 2002",1994,6-4,Jason Kidd,PG,2001-2002,2002,7,New Jersey Nets,210,0.5
25,West,"Mar 24, 2002",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,250,0.5
22,East,"Mar 17, 2002",1997,6-8,Tracy McGrady,GF,2001-2002,2002,4,Orlando Magic,210,0.5
25,West,"Mar 17, 2002",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,250,0.5
29,East,"Mar 10, 2002",1995,6-9,Kurt Thomas,FC,2001-2002,2002,6,New York Knicks,240,0.5
29,West,"Mar 10, 2002",1992,7-1,Shaquille O'Neal,C,2001-2002,2002,9,Los Angeles Lakers,325,0.5
26,East,"Mar 3, 2002",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,165,0.5
27,West,"Mar 3, 2002",1995,6-11,Rasheed Wallace,FC,2001-2002,2002,6,Portland Trail Blazers,230,0.5
27,East,"Feb 24, 2002",1996,6-9,Ben Wallace,FC,2001-2002,2002,5,Detroit Pistons,240,0.5
29,West,"Feb 24, 2002",1992,7-1,Shaquille O'Neal,C,2001-2002,2002,9,Los Angeles Lakers,325,0.5
25,East,"Feb 17, 2002",1999,6-3,Andre Miller,PG,2001-2002,2002,2,Cleveland Cavaliers,200,0.5
38,West,"Feb 17, 2002",1985,6-9,Karl Malone,PF,2001-2002,2002,16,Utah Jazz,265,0.5
28,East,"Feb 3, 2002",1994,6-4,Jason Kidd,PG,2001-2002,2002,7,New Jersey Nets,210,0.5
29,West,"Feb 3, 2002",1992,7-1,Shaquille O'Neal,C,2001-2002,2002,9,Los Angeles Lakers,325,0.5
26,East,"Jan 27, 2002",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,165,0.5
23,West,"Jan 27, 2002",1998,7-0,Dirk Nowitzki,PF,2001-2002,2002,3,Dallas Mavericks,245,0.5
26,East,"Jan 20, 2002",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,165,0.5
23,West,"Jan 20, 2002",1996,6-6,Kobe Bryant,SG,2001-2002,2002,5,Los Angeles Lakers,212,0.5
26,East,"Jan 13, 2002",1996,6-5,Ray Allen,SG,2001-2002,2002,5,Milwaukee Bucks,205,0.5
25,West,"Jan 13, 2002",1995,6-11,Kevin Garnett,PF,2001-2002,2002,6,Minnesota Timberwolves,240,0.5
30,East,"Jan 6, 2002",1994,6-6,Eddie Jones,G-F,2001-2002,2002,7,Miami Heat,200,0.5
28,West,"Jan 6, 2002",1993,6-9,Chris Webber,F-C,2001-2002,2002,8,Sacramento Kings,245,0.5
28,East,"Dec 30, 2001",1994,6-4,Jason Kidd,PG,2001-2002,2002,7,New Jersey Nets,210,0.5
25,West,"Dec 30, 2001",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,250,0.5
23,East,"Dec 23, 2001",1996,6-11,Jermaine O'Neal,FC,2001-2002,2002,5,Indiana Pacers,235,0.5
33,West,"Dec 23, 2001",1990,6-4,Gary Payton,G,2001-2002,2002,11,Seattle SuperSonics,180,0.5
24,East,"Dec 16, 2001",1999,6-7,Richard Hamilton,SG,2001-2002,2002,2,Washington Wizards,193,0.5
28,West,"Dec 16, 2001",1996,6-3,Steve Nash,G,2001-2002,2002,5,Dallas Mavericks,178,0.5
25,East,"Dec 9, 2001",1999,6-3,Andre Miller,PG,2001-2002,2002,2,Cleveland Cavaliers,200,0.5
22,West,"Dec 9, 2001",1999,6-9,Elton Brand,PF,2001-2002,2002,2,Los Angeles Clippers,254,0.5
24,East,"Dec 2, 2001",1998,6-7,Paul Pierce,SF,2001-2002,2002,3,Boston Celtics,235,0.5
25,West,"Dec 2, 2001",1996,6-2,Stephon Marbury,G,2001-2002,2002,5,Phoenix Suns,180,0.5
25,East,"Nov 25, 2001",1996,6-9,Shareef Abdur-Rahim,F,2001-2002,2002,5,Atlanta Hawks,225,0.5
25,West,"Nov 25, 2001",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,250,0.5
26,East,"Nov 18, 2001",1996,6-0,Allen Iverson,G,2001-2002,2002,5,Philadelphia Sixers,165,0.5
25,West,"Nov 18, 2001",1995,6-11,Kevin Garnett,PF,2001-2002,2002,6,Minnesota Timberwolves,240,0.5
25,East,"Nov 11, 2001",1998,6-6,Vince Carter,SF,2001-2002,2002,3,Toronto Raptors,220,0.5
25,West,"Nov 11, 2001",1997,6-11,Tim Duncan,FC,2001-2002,2002,4,San Antonio Spurs,250,0.5
26,East,"Nov 4, 2001",1996,6-5,Ray Allen,SG,2001-2002,2002,5,Milwaukee Bucks,205,0.5
23,West,"Nov 4, 2001",1996,6-6,Kobe Bryant,SG,2001-2002,2002,5,Los Angeles Lakers,212,0.5
23,East,"Apr 13, 2003",1997,6-8,Tracy McGrady,GF,2002-2003,2003,5,Orlando Magic,210,0.5
24,West,"Apr 13, 2003",1999,6-7,Shawn Marion,F,2002-2003,2003,3,Phoenix Suns,228,0.5
29,East,"Apr 6, 2003",1994,6-4,Jason Kidd,PG,2002-2003,2003,8,New Jersey Nets,210,0.5
30,West,"Apr 6, 2003",1992,7-1,Shaquille O'Neal,C,2002-2003,2003,10,Los Angeles Lakers,325,0.5
22,East,"Mar 30, 2003",2001,6-7,Richard Jefferson,SF,2002-2003,2003,1,New Jersey Nets,233,0.5
26,West,"Mar 30, 2003",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,250,0.5
28,East,"Mar 23, 2003",1996,6-9,Ben Wallace,FC,2002-2003,2003,6,Detroit Pistons,240,0.5
25,West,"Mar 23, 2003",1996,6-10,Peja Stojakovic,F,2002-2003,2003,4,Sacramento Kings,229,0.5
27,East,"Mar 16, 2003",1996,6-0,Allen Iverson,G,2002-2003,2003,6,Philadelphia Sixers,165,0.5
26,West,"Mar 16, 2003",1999,6-3,Steve Francis,G,2002-2003,2003,3,Houston Rockets,195,0.5
23,East,"Mar 9, 2003",1997,6-8,Tracy McGrady,GF,2002-2003,2003,5,Orlando Magic,210,0.5
30,West,"Mar 9, 2003",1992,7-1,Shaquille O'Neal,C,2002-2003,2003,10,Los Angeles Lakers,325,0.5
40,East,"Mar 2, 2003",1984,6-6,Michael Jordan,SG,2002-2003,2003,14,Washington Wizards,215,0.5
27,West,"Mar 2, 2003",1996,6-5,Ray Allen,SG,2002-2003,2003,6,Seattle SuperSonics,205,0.5
23,East,"Feb 23, 2003",1997,6-8,Tracy McGrady,GF,2002-2003,2003,5,Orlando Magic,210,0.5
24,West,"Feb 23, 2003",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,212,0.5
31,East,"Feb 16, 2003",1993,6-6,Allan Houston,G,2002-2003,2003,9,New York Knicks,205,0.5
26,West,"Feb 16, 2003",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,250,0.5
26,East,"Feb 2, 2003",1997,6-3,Chauncey Billups,G,2002-2003,2003,5,Detroit Pistons,210,0.5
24,West,"Feb 2, 2003",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,212,0.5
25,East,"Jan 26, 2003",1998,6-7,Paul Pierce,SF,2002-2003,2003,4,Boston Celtics,235,0.5
26,West,"Jan 26, 2003",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,250,0.5
26,East,"Jan 19, 2003",1996,6-9,Antoine Walker,F,2002-2003,2003,6,Boston Celtics,265,0.5
26,West,"Jan 19, 2003",1999,6-3,Steve Francis,G,2002-2003,2003,3,Houston Rockets,195,0.5
24,East,"Jan 12, 2003",1996,6-11,Jermaine O'Neal,FC,2002-2003,2003,6,Indiana Pacers,235,0.5
24,West,"Jan 12, 2003",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,212,0.5
26,West,"Jan 12, 2003",1996,6-2,Stephon Marbury,G,2002-2003,2003,6,Phoenix Suns,180,0.5
40,East,"Jan 5, 2003",1984,6-6,Michael Jordan,SG,2002-2003,2003,14,Washington Wizards,215,0.5
24,West,"Jan 5, 2003",1998,7-0,Dirk Nowitzki,PF,2002-2003,2003,4,Dallas Mavericks,245,0.5
32,East,"Dec 29, 2002",1993,6-5,Lucious Harris,SG,2002-2003,2003,9,New Jersey Nets,190,0.5
26,West,"Dec 29, 2002",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,250,0.5
29,East,"Dec 22, 2002",1994,6-4,Jason Kidd,PG,2002-2003,2003,8,New Jersey Nets,210,0.5
26,West,"Dec 22, 2002",1997,6-11,Tim Duncan,FC,2002-2003,2003,5,San Antonio Spurs,250,0.5
26,East,"Dec 15, 2002",1996,6-9,Antoine Walker,F,2002-2003,2003,6,Boston Celtics,265,0.5
29,West,"Dec 15, 2002",1993,6-9,Chris Webber,F-C,2002-2003,2003,9,Sacramento Kings,245,0.5
25,East,"Dec 8, 2002",1998,6-7,Paul Pierce,SF,2002-2003,2003,4,Boston Celtics,235,0.5
24,West,"Dec 8, 2002",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,212,0.5
27,East,"Dec 1, 2002",1996,6-0,Allen Iverson,G,2002-2003,2003,6,Philadelphia Sixers,165,0.5
26,West,"Dec 1, 2002",1996,6-2,Stephon Marbury,G,2002-2003,2003,6,Phoenix Suns,180,0.5
27,East,"Nov 24, 2002",1996,6-0,Allen Iverson,G,2002-2003,2003,6,Philadelphia Sixers,165,0.5
26,West,"Nov 24, 2002",1995,6-11,Kevin Garnett,PF,2002-2003,2003,7,Minnesota Timberwolves,240,0.5
23,East,"Nov 17, 2002",1999,6-7,Metta World Peace,SF,2002-2003,2003,3,Indiana Pacers,260,0.5
23,West,"Nov 17, 2002",1998,6-10,Rashard Lewis,F,2002-2003,2003,4,Seattle SuperSonics,235,0.5
28,East,"Nov 10, 2002",1995,6-6,Jerry Stackhouse,SF,2002-2003,2003,7,Washington Wizards,218,0.5
24,West,"Nov 10, 2002",1998,7-0,Dirk Nowitzki,PF,2002-2003,2003,4,Dallas Mavericks,245,0.5
30,East,"Nov 3, 2002",1994,6-7,Glenn Robinson,SF,2002-2003,2003,8,Atlanta Hawks,225,0.5
